state_fips,cty_fips,area,year,total_labor_force,num_employed,num_unemployed,unemployment_rate,fips
17,003,"Alexander County, IL",2020,1918,1730,188,9.8000000000000007,17003
17,003,"Alexander County, IL",2019,1948,1829,119,6.1,17003
17,003,"Alexander County, IL",2018,2074,1906,168,8.1,17003
17,003,"Alexander County, IL",2017,2136,1957,179,8.4,17003
17,003,"Alexander County, IL",2016,2215,2008,207,9.3,17003
17,003,"Alexander County, IL",2015,2297,2086,211,9.2,17003
17,003,"Alexander County, IL",2014,2556,2281,275,10.8,17003
17,003,"Alexander County, IL",2013,2687,2348,339,12.6,17003
17,003,"Alexander County, IL",2012,2748,2418,330,12,17003
17,003,"Alexander County, IL",2011,2889,2516,373,12.9,17003
17,003,"Alexander County, IL",2010,2967,2615,352,11.9,17003
17,003,"Alexander County, IL",2009,2993,2623,370,12.4,17003
17,003,"Alexander County, IL",2008,3106,2805,301,9.7,17003
17,003,"Alexander County, IL",2007,3268,2996,272,8.3,17003
17,003,"Alexander County, IL",2006,3297,3031,266,8.1,17003
17,003,"Alexander County, IL",2005,3339,3053,286,8.6,17003
17,003,"Alexander County, IL",2004,3393,3083,310,9.1,17003
17,003,"Alexander County, IL",2003,3486,3116,370,10.6,17003
17,003,"Alexander County, IL",2002,3462,3149,313,9,17003
17,003,"Alexander County, IL",2001,3499,3219,280,8,17003
17,003,"Alexander County, IL",2000,3632,3362,270,7.4,17003
17,003,"Alexander County, IL",1999,4245,3970,275,6.5,17003
17,003,"Alexander County, IL",1998,4077,3761,316,7.8,17003
17,003,"Alexander County, IL",1997,3835,3507,328,8.6,17003
17,003,"Alexander County, IL",1996,4037,3697,340,8.4,17003
17,003,"Alexander County, IL",1995,3890,3551,339,8.7,17003
17,003,"Alexander County, IL",1994,3939,3501,438,11.1,17003
17,003,"Alexander County, IL",1993,4184,3667,517,12.4,17003
17,003,"Alexander County, IL",1992,4196,3712,484,11.5,17003
17,003,"Alexander County, IL",1991,4315,3769,546,12.7,17003
17,003,"Alexander County, IL",1990,4111,3609,502,12.2,17003
