fips_code,area,period,qtrly_estabs,avg_wkly_wage
19111,"Lee County, IA",2014-1,1102,736
19111,"Lee County, IA",2014-2,1112,782
19111,"Lee County, IA",2014-3,1117,776
19111,"Lee County, IA",2014-4,1112,908
19111,"Lee County, IA",2015-1,1106,853
19111,"Lee County, IA",2015-2,1117,845
19111,"Lee County, IA",2015-3,1118,828
19111,"Lee County, IA",2015-4,1111,918
19111,"Lee County, IA",2016-1,1119,795
19111,"Lee County, IA",2016-2,1117,858
19111,"Lee County, IA",2016-3,1120,925
19111,"Lee County, IA",2016-4,1127,920
19111,"Lee County, IA",2017-1,1094,880
19111,"Lee County, IA",2017-2,1095,829
19111,"Lee County, IA",2017-3,1100,799
19111,"Lee County, IA",2017-4,1091,851
19111,"Lee County, IA",2018-1,1083,840
19111,"Lee County, IA",2018-2,1081,822
19111,"Lee County, IA",2018-3,1062,825
19111,"Lee County, IA",2018-4,1064,865
19111,"Lee County, IA",2019-1,1063,878
19111,"Lee County, IA",2019-2,1063,847
19111,"Lee County, IA",2019-3,1065,873
19111,"Lee County, IA",2019-4,1056,893
19111,"Lee County, IA",2020-1,1062,895
19111,"Lee County, IA",2020-2,1060,903
19111,"Lee County, IA",2020-3,1058,894
