fips_code,county,state,area,area_formatted,county_page_url
01001,Autauga County,Alabama,"Autauga County, Alabama",autauga-county-alabama,site/county-pages/autauga-county-alabama-01001.html
01003,Baldwin County,Alabama,"Baldwin County, Alabama",baldwin-county-alabama,site/county-pages/baldwin-county-alabama-01003.html
01005,Barbour County,Alabama,"Barbour County, Alabama",barbour-county-alabama,site/county-pages/barbour-county-alabama-01005.html
01007,Bibb County,Alabama,"Bibb County, Alabama",bibb-county-alabama,site/county-pages/bibb-county-alabama-01007.html
01009,Blount County,Alabama,"Blount County, Alabama",blount-county-alabama,site/county-pages/blount-county-alabama-01009.html
01011,Bullock County,Alabama,"Bullock County, Alabama",bullock-county-alabama,site/county-pages/bullock-county-alabama-01011.html
01013,Butler County,Alabama,"Butler County, Alabama",butler-county-alabama,site/county-pages/butler-county-alabama-01013.html
01015,Calhoun County,Alabama,"Calhoun County, Alabama",calhoun-county-alabama,site/county-pages/calhoun-county-alabama-01015.html
01017,Chambers County,Alabama,"Chambers County, Alabama",chambers-county-alabama,site/county-pages/chambers-county-alabama-01017.html
01019,Cherokee County,Alabama,"Cherokee County, Alabama",cherokee-county-alabama,site/county-pages/cherokee-county-alabama-01019.html
01021,Chilton County,Alabama,"Chilton County, Alabama",chilton-county-alabama,site/county-pages/chilton-county-alabama-01021.html
01023,Choctaw County,Alabama,"Choctaw County, Alabama",choctaw-county-alabama,site/county-pages/choctaw-county-alabama-01023.html
01025,Clarke County,Alabama,"Clarke County, Alabama",clarke-county-alabama,site/county-pages/clarke-county-alabama-01025.html
01027,Clay County,Alabama,"Clay County, Alabama",clay-county-alabama,site/county-pages/clay-county-alabama-01027.html
01029,Cleburne County,Alabama,"Cleburne County, Alabama",cleburne-county-alabama,site/county-pages/cleburne-county-alabama-01029.html
01031,Coffee County,Alabama,"Coffee County, Alabama",coffee-county-alabama,site/county-pages/coffee-county-alabama-01031.html
01033,Colbert County,Alabama,"Colbert County, Alabama",colbert-county-alabama,site/county-pages/colbert-county-alabama-01033.html
01035,Conecuh County,Alabama,"Conecuh County, Alabama",conecuh-county-alabama,site/county-pages/conecuh-county-alabama-01035.html
01037,Coosa County,Alabama,"Coosa County, Alabama",coosa-county-alabama,site/county-pages/coosa-county-alabama-01037.html
