state_fips,cty_fips,area,year,total_labor_force,num_employed,num_unemployed,unemployment_rate,fips
37,079,"Greene County, NC",2020,9551,9012,539,5.6,37079
37,079,"Greene County, NC",2019,9650,9302,348,3.6,37079
37,079,"Greene County, NC",2018,9533,9160,373,3.9,37079
37,079,"Greene County, NC",2017,9536,9112,424,4.4,37079
37,079,"Greene County, NC",2016,9496,8992,504,5.3,37079
37,079,"Greene County, NC",2015,9469,8952,517,5.5,37079
37,079,"Greene County, NC",2014,9413,8844,569,6,37079
37,079,"Greene County, NC",2013,9426,8705,721,7.6,37079
37,079,"Greene County, NC",2012,9733,8875,858,8.8,37079
37,079,"Greene County, NC",2011,9609,8687,922,9.6,37079
37,079,"Greene County, NC",2010,9464,8516,948,10,37079
37,079,"Greene County, NC",2009,9343,8325,1018,10.9,37079
37,079,"Greene County, NC",2008,9299,8686,613,6.6,37079
37,079,"Greene County, NC",2007,9212,8670,542,5.9,37079
37,079,"Greene County, NC",2006,9148,8612,536,5.9,37079
37,079,"Greene County, NC",2005,9004,8413,591,6.6,37079
37,079,"Greene County, NC",2004,9011,8417,594,6.6,37079
37,079,"Greene County, NC",2003,8960,8333,627,7,37079
37,079,"Greene County, NC",2002,8567,7914,653,7.6,37079
37,079,"Greene County, NC",2001,8650,8062,588,6.8,37079
37,079,"Greene County, NC",2000,8609,8207,402,4.7,37079
37,079,"Greene County, NC",1999,9398,8944,454,4.8,37079
37,079,"Greene County, NC",1998,9185,8837,348,3.8,37079
37,079,"Greene County, NC",1997,9042,8757,285,3.2,37079
37,079,"Greene County, NC",1996,8671,8333,338,3.9,37079
37,079,"Greene County, NC",1995,8346,7978,368,4.4,37079
37,079,"Greene County, NC",1994,8019,7582,437,5.4,37079
37,079,"Greene County, NC",1993,7768,7404,364,4.7,37079
37,079,"Greene County, NC",1992,7777,7368,409,5.3,37079
37,079,"Greene County, NC",1991,7698,7277,421,5.5,37079
37,079,"Greene County, NC",1990,7500,7191,309,4.1,37079
